Temp (c), Acc
(27)	(-3.02, -3.54, 8.58)	(-29.75, -3.5, -8.375)	(-0.013089969389957472, 0.008726646259971648, 0.002181661564992912)	(359.9375, -18.0625, 22.3125)	(0.96929931640625, -0.18646240234375, 0.16009521484375, 0.0)	(0.02, 0.03, -0.04)	(-3.04, -3.54, 8.620000000000001)	(1693384265.055308)
(-101)	(-2.99, -3.49, 8.6)	(-29.75, -3.5, -8.375)	(-0.008726646259971648, 0.007635815477475192, 0.003272492347489368)	(359.9375, -18.0625, 22.3125)	(0.96929931640625, -0.1865234375, 0.16009521484375, 6.103515625e-05)	(0.04, 0.02, 0.0)	(-3.04, -3.54, 8.620000000000001)	(1693384265.0812013)
(-101)	(-3.02, -3.52, 8.6)	(-29.75, -3.5, -1.1875)	(0.011999138607461015, 0.001090830782496456, -0.007635815477475192)	(359.9375, -18.0625, 22.3125)	(0.9693603515625, -0.18646240234375, 0.16009521484375, 0.0)	(-0.01, 0.02, 0.01)	(-3.04, -3.54, 8.620000000000001)	(1693384265.113159)
(27)	(-3.0500000000000003, -3.5300000000000002, 8.64)	(-21.375, -3.1875, -8.375)	(0.0, 0.006544984694978736, -0.001090830782496456)	(367.9375, -18.0625, 22.3125)	(0.97711181640625, -0.1865234375, 0.16015625, 0.0)	(0.0, 0.03, 0.0)	(-3.04, -3.54, 8.620000000000001)	(1693384265.1564236)
(27)	(-3.0, -3.52, 8.58)	(-29.75, -3.1875, -9.5)	(-0.007635815477475192, 0.007635815477475192, -0.002181661564992912)	(367.9375, -18.0625, 22.3125)	(0.96929931640625, -0.1865234375, 0.16015625, 0.0)	(1.31, 0.03, -0.02)	(-3.04, -3.54, 8.620000000000001)	(1693384265.2036092)
(-101)	(-3.0500000000000003, -3.54, 8.64)	(-29.75, -3.1875, -9.5)	(-0.001090830782496456, 0.017453292519943295, -0.004363323129985824)	(0.0, -18.0625, 22.3125)	(0.96929931640625, -0.18646240234375, 0.1602783203125, 0.0)	(0.0, -0.01, 0.03)	(-3.04, -3.54, 8.620000000000001)	(1693384265.2338424)
(-101)	(-3.0100000000000002, -3.5100000000000002, 8.57)	(-29.0, -3.5, -8.75)	(-0.008726646259971648, -0.004363323129985824, 0.001090830782496456)	(359.9375, -18.0625, 22.3125)	(0.96929931640625, -0.1865234375, 0.1602783203125, 0.0)	(0.01, 0.03, -0.02)	(-3.04, -3.54, 8.620000000000001)	(1693384265.2653039)
(-101)	(-3.02, -3.5100000000000002, 8.61)	(-29.75, -3.1875, -8.375)	(0.003272492347489368, 0.003272492347489368, -0.002181661564992912)	(359.9375, -18.0625, 22.3125)	(0.96929931640625, -0.1865234375, 0.1602783203125, 0.0)	(0.02, 0.01, 0.0)	(-3.04, -3.54, 8.620000000000001)	(1693384265.2948542)
(-101)	(-3.02, -3.5100000000000002, 8.59)	(-29.75, -3.1875, -8.375)	(0.003272492347489368, 0.003272492347489368, -0.001090830782496456)	(359.9375, -18.0625, 22.3125)	(0.96929931640625, -0.1865234375, 0.1602783203125, 0.0)	(0.0, 0.02, 0.0)	(-3.04, -3.54, 8.620000000000001)	(1693384265.323162)
(-101)	(-3.02, -3.5100000000000002, 8.59)	(-30.0625, -3.1875, -8.75)	(-0.002181661564992912, 0.00545415391248228, 0.0)	(359.9375, -18.0625, 22.3125)	(0.96929931640625, -0.1865234375, 0.1602783203125, 0.0)	(0.0, 0.01, -0.03)	(-3.04, -3.54, 8.620000000000001)	(1693384265.3502254)
(27)	(-3.0300000000000002, -3.5100000000000002, 8.6)	(-30.0625, -3.1875, -8.75)	(-0.004363323129985824, 0.006544984694978736, -0.001090830782496456)	(359.9375, -18.0625, 22.3125)	(0.96929931640625, -0.1865234375, 0.1602783203125, 0.0)	(0.01, 0.03, -0.01)	(-3.04, -3.54, 8.620000000000001)	(1693384265.374938)
